User ID: 44692, Notification ID: 6
User ID: 40946, Notification ID: 6
User ID: 43760, Notification ID: 6
User ID: 48402, Notification ID: 6
User ID: 42783, Notification ID: 6
User ID: 42353, Notification ID: 6
User ID: 45916, Notification ID: 6
User ID: 43246, Notification ID: 6
User ID: 49890, Notification ID: 6
User ID: 41018, Notification ID: 6
User ID: 45707, Notification ID: 6
User ID: 49282, Notification ID: 6
User ID: 41808, Notification ID: 6
User ID: 43667, Notification ID: 6
User ID: 41011, Notification ID: 6
User ID: 49252, Notification ID: 6
User ID: 43664, Notification ID: 6
User ID: 46237, Notification ID: 6
User ID: 42352, Notification ID: 6
User ID: 46469, Notification ID: 6
User ID: 48226, Notification ID: 6
User ID: 47788, Notification ID: 6
User ID: 45493, Notification ID: 6
User ID: 44165, Notification ID: 6
User ID: 44111, Notification ID: 6
User ID: 41841, Notification ID: 6
User ID: 41942, Notification ID: 6
User ID: 48398, Notification ID: 6
User ID: 47983, Notification ID: 6
User ID: 41105, Notification ID: 6
User ID: 46602, Notification ID: 6
User ID: 47675, Notification ID: 6
User ID: 41711, Notification ID: 6
User ID: 44899, Notification ID: 6
User ID: 45263, Notification ID: 6
User ID: 49793, Notification ID: 6
User ID: 40687, Notification ID: 6
User ID: 47403, Notification ID: 6
User ID: 41138, Notification ID: 6
User ID: 43103, Notification ID: 6
User ID: 45747, Notification ID: 6
User ID: 49367, Notification ID: 6
User ID: 41736, Notification ID: 6
User ID: 49300, Notification ID: 6
User ID: 41684, Notification ID: 6
User ID: 49345, Notification ID: 6
User ID: 40997, Notification ID: 6
User ID: 48246, Notification ID: 6
User ID: 44246, Notification ID: 6
User ID: 49814, Notification ID: 6
User ID: 48437, Notification ID: 6
User ID: 44332, Notification ID: 6
User ID: 43356, Notification ID: 6
User ID: 44579, Notification ID: 6
User ID: 47922, Notification ID: 6
User ID: 42857, Notification ID: 6
User ID: 41921, Notification ID: 6
User ID: 41452, Notification ID: 6
User ID: 44820, Notification ID: 6
User ID: 40957, Notification ID: 6
